transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,month_name
T4999,U018,2023-04-25,Expense,Education,3888,Card,Ahmedabad,Movie tickets,2023,4,April
T12828,U133,2022-08-05,Expense,Rent,649,Unknown,Hyderabad,N/A,2022,8,August
T7403,U091,2023-12-31,Income,Freelance,13239,Cash,Bangalore,Books,2023,12,December
T7495,U088,2022-10-28,Expense,Entertainment,2287,Card,Hyderabad,N/A,2022,10,October
T12465,U042,2024-04-11,Expense,Food,4168,Unknown,Unknown,N/A,2024,4,April
T9824,U061,2024-12-12,Income,Salary,62061,Card,Ahmedabad,N/A,2024,12,December
T0741,U053,2024-03-13,Expense,Utilities,5070,UPI,Kolkata,Grocery shopping,2024,3,March
T12403,U004,2023-11-10,Income,Others,59543,UPI,Lucknow,Gym membership,2023,11,November
T9446,U006,2022-06-29,Expense,Utilities,5767,Bank Transfer,Bangalore,N/A,2022,6,June
T3016,U099,2022-02-24,Expense,Rent,23760,Card,Bangalore,Electricity bill,2022,2,February
T11564,U148,2023-08-28,Expense,Food,898,UPI,Lucknow,Restaurant dinner,2023,8,August
T11382,U111,2023-06-02,Income,Freelance,25143,Card,Chennai,N/A,2023,6,June
T3133,U024,2024-07-17,Expense,Rent,9567,Bank Transfer,Pune,ATM withdrawal,2024,7,July
T1982,U089,2021-02-27,Income,Others,49683,Unknown,Lucknow,N/A,2021,2,February
T7154,U039,2024-09-21,Expense,Food,222,UPI,Bangalore,N/A,2024,9,September
T2699,U092,2023-02-25,Expense,Travel,2553,UPI,Lucknow,Doctor consultation,2023,2,February
T5774,U005,2021-02-14,Expense,Food,7406,Card,Bangalore,N/A,2021,2,February
T12850,U076,2021-06-09,Expense,Rent,3010,UPI,Kolkata,N/A,2021,6,June
T6195,U038,2024-11-20,Income,Salary,855881,Bank Transfer,Jaipur,N/A,2024,11,November
T5731,U027,2023-02-04,Expense,Food,2206,Bank Transfer,Unknown,N/A,2023,2,February
T0909,U013,2024-04-20,Expense,Entertainment,7038,Card,Jaipur,Gym membership,2024,4,April
T7565,U075,2022-01-24,Expense,Travel,4286,Bank Transfer,Hyderabad,N/A,2022,1,January
T1653,U099,2024-12-16,Expense,Education,8119,Card,Hyderabad,Books,2024,12,December
T6239,U150,2021-12-28,Expense,Education,4189,Card,Bangalore,Uber ride,2021,12,December
T2849,U150,2022-10-10,Income,Investment,19947,Bank Transfer,Lucknow,Coffee,2022,10,October
T4949,U101,2023-01-03,Expense,Food,3865,Bank Transfer,Jaipur,N/A,2023,1,January
T3563,U007,2021-05-05,Expense,Travel,2407,Card,Chennai,Internet bill,2021,5,May
T10891,U055,2024-09-08,Expense,Food,3085,Card,Jaipur,Electricity bill,2024,9,September
T10872,U080,2023-02-22,Expense,Health,5252,Unknown,Delhi,Online course,2023,2,February
T1215,U150,2023-12-29,Expense,Others,4823,Cash,Ahmedabad,N/A,2023,12,December
T5293,U044,2021-02-23,Expense,Health,8497,Unknown,Kolkata,Gym membership,2021,2,February
T2003,U149,2021-04-15,Expense,Travel,8241,UPI,Unknown,Movie tickets,2021,4,April
T9452,U062,2023-09-24,Expense,Rent,8579,Bank Transfer,Ahmedabad,N/A,2023,9,September
T4924,U082,2022-05-25,Expense,Food,235,Card,Chennai,ATM withdrawal,2022,5,May
T11911,U069,2023-06-22,Expense,Food,1263,UPI,Lucknow,N/A,2023,6,June
T11270,U022,2023-08-09,Expense,Health,2134,Bank Transfer,Jaipur,Books,2023,8,August
T13032,U150,2021-06-19,Expense,Education,2228,Cash,Delhi,Movie tickets,2021,6,June
T0361,U055,2023-08-16,Expense,Utilities,1081,Card,Pune,N/A,2023,8,August
T7314,U103,2022-02-26,Expense,Entertainment,371,Cash,Mumbai,Uber ride,2022,2,February
T11430,U108,2021-07-10,Expense,Food,225,Card,Pune,N/A,2021,7,July
T12663,U052,2023-04-15,Expense,Rent,23776,UPI,Bangalore,Doctor consultation,2023,4,April
T6106,U008,2023-04-23,Expense,Health,6707,Card,Delhi,N/A,2023,4,April
T1623,U017,2021-04-10,Expense,Utilities,601,Bank Transfer,Jaipur,Medicine,2021,4,April
T13765,U034,2024-09-05,Expense,Others,3219,Cash,Hyderabad,Internet bill,2024,9,September
T5930,U011,2024-04-21,Expense,Savings,8111,Unknown,Delhi,Grocery shopping,2024,4,April
T4242,U053,2024-08-15,Income,Salary,41573,Bank Transfer,Mumbai,Coffee,2024,8,August
T12437,U004,2024-01-12,Expense,Education,3110,Bank Transfer,Chennai,Doctor consultation,2024,1,January
T8670,U030,2024-07-25,Expense,Food,4277,Card,Pune,Train ticket,2024,7,July
T11341,U127,2024-01-17,Expense,Food,3047,Card,Mumbai,Grocery shopping,2024,1,January
T9556,U008,2024-06-27,Income,Freelance,10183,Unknown,Delhi,N/A,2024,6,June
T2449,U028,2022-04-16,Expense,Travel,9888,Bank Transfer,Delhi,Shopping,2022,4,April
T4357,U088,2024-07-03,Expense,Rent,7217,Cash,Delhi,Internet bill,2024,7,July
T0815,U141,2021-10-05,Expense,Education,9725,Bank Transfer,Chennai,Restaurant dinner,2021,10,October
T7919,U086,2023-05-27,Expense,Entertainment,9648,Bank Transfer,Kolkata,N/A,2023,5,May
T5695,U061,2023-10-22,Expense,Travel,1643,Card,Mumbai,Petrol,2023,10,October
T3475,U046,2022-12-10,Income,Freelance,70075,UPI,Kolkata,Gym membership,2022,12,December
T10128,U104,2024-09-06,Expense,Unknown,6228,Cash,Hyderabad,N/A,2024,9,September
T3491,U061,2024-04-10,Expense,Education,1206,Cash,Ahmedabad,Shopping,2024,4,April
T2225,U028,2023-07-06,Expense,Education,8204,Card,Unknown,N/A,2023,7,July
T2022,U056,2021-12-20,Expense,Food,5576,Bank Transfer,Delhi,Medicine,2021,12,December
T13529,U123,2021-11-05,Expense,Health,9771,Bank Transfer,Pune,Petrol,2021,11,November
