transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,month_name
T03512,U039,2021-12-22,Expense,Rent,998,Cash,Pune,Paid electricity bill,2021,12,December
T03261,U179,2022-03-24,Expense,Food,143,Card,Delhi,Grocery shopping,2022,3,March
T04316,U143,2022-10-18,Expense,Rent,149,Cash,Bangalore,N/A,2022,10,October
T05649,U079,2021-12-12,Expense,Rent,49,UPI,Unknown,Paid electricity bill,2021,12,December
T04246,U188,2022-07-12,Expense,Entertainment,208,UPI,Hyderabad,Monthly rent,2022,7,July
T01814,U150,2019-09-12,Expense,Savings,681,Cash,Kolkata,Salary,2019,9,September
T06293,U014,2022-01-06,Expense,Rent,2524,Bank Transfer,Unknown,Salary,2022,1,January
T07930,U138,2022-11-04,Expense,Education,93,Bank Transfer,Pune,N/A,2022,11,November
T04656,U112,2021-02-03,Expense,Food,323,UPI,Ahmedabad,Monthly rent,2021,2,February
T11712,U117,2022-11-02,Expense,Others,662,UPI,Chennai,Salary cash,2022,11,November
T00308,U009,2022-11-21,Expense,Food,1019,UPI,Kolkata,N/A,2022,11,November
T01783,U092,2022-12-29,Expense,Entertainment,203,Bank Transfer,Jaipur,Course fee,2022,12,December
T09558,U082,2020-10-26,Income,Salary,59149,Bank Transfer,Chennai,Netflix subscription,2020,10,October
T09993,U148,2021-05-25,Income,Other Income,78744,Bank Transfer,Unknown,Doctor visit,2021,5,May
T02596,U050,2021-03-03,Income,Other Income,58874,Card,Bangalore,Salary,2021,3,March
T05569,U049,2021-09-24,Expense,Food,258,Bank Transfer,Lucknow,Dinner at resto,2021,9,September
T10777,U044,2022-07-02,Expense,Travel,336,UPI,Kolkata,Uber to office,2022,7,July
T11684,U114,2022-01-20,Expense,Food,383,Bank Transfer,Hyderabad,Grocery shopping,2022,1,January
T14503,U119,2022-03-08,Expense,Savings,93,Card,Ahmedabad,N/A,2022,3,March
T11737,U059,2021-04-16,Expense,Food,82,Cash,Lucknow,N/A,2021,4,April
T08540,U095,2021-06-26,Expense,Food,1761,Cash,Hyderabad,N/A,2021,6,June
T11492,U149,2020-12-28,Expense,Rent,1580,UPI,Lucknow,Uber to office,2020,12,December
T10632,U157,2021-11-19,Expense,Rent,856,UPI,Mumbai,Paid electricity bill,2021,11,November
T02786,U150,2019-10-22,Expense,Rent,46,Cash,Hyderabad,N/A,2019,10,October
T14674,U158,2022-04-17,Income,Bonus,35621,Card,Pune,Uber to office,2022,4,April
